,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
통계분류(1),통계분류(2),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
전체,소계,18037,11381,9131,12443,15824,16443,18330,17314,13496,12970,12795,12478,13097,12745,14630,16601,19206,16646,17821,19001,16514,18554,16853,17133,16349,15414,17356,20190,21469,20439,21865,23383,20921,22229,21661,20412
성별,남자,8978,5614,4663,6264,7587,8194,9376,9060,6909,6369,6359,6533,6524,6388,6951,7665,8902,8308,9045,9353,8084,8810,8032,8524,7940,7727,8337,9834,10391,9636,10466,11228,10348,10814,10446,10165
성별,여자,9059,5767,4469,6179,8237,8250,8954,8253,6587,6601,6436,5945,6573,6357,7679,8937,10305,8338,8776,9648,8430,9744,8820,8609,8409,7687,9019,10356,11079,10803,11399,12155,10573,11415,11215,10247
연령,15~19세,712,411,314,397,580,463,571,528,338,485,284,436,344,339,519,458,517,507,623,570,591,410,453,634,551,520,421,526,588,559,745,1070,695,658,564,770
연령,20대,3491,2438,2111,2473,3047,3272,3791,3519,2665,2485,2633,2695,2653,2536,2661,3376,3714,3517,3634,3701,3302,3455,3386,3328,3348,2725,3386,3773,4072,3845,4292,4283,3379,3951,3711,3967
연령,30대,3502,2610,1784,2710,3253,3624,4095,3689,3084,2960,2738,2683,2977,2590,3125,3326,3895,3410,3591,4079,3470,3660,3581,3496,3545,3224,3494,4264,4017,3691,4054,4364,3896,4127,3970,4053
연령,40대,4039,2030,1900,2818,3337,3062,3902,3757,2756,2649,2677,2662,2641,3000,3067,3501,3896,3345,3756,4013,3301,4001,3448,3541,2975,3514,3635,4022,4443,4309,4539,4961,4250,4467,4206,3970
연령,50대,3360,2292,1477,2248,3230,3626,3271,3519,2671,2524,2455,2213,2543,2473,2857,3307,3981,3367,3484,3650,3162,3913,3244,3315,3187,3009,3689,4055,4189,4172,4344,4767,4014,4536,4772,3793
연령,60대,2010,1152,1195,1391,1703,1790,1947,1758,1407,1297,1491,1289,1490,1445,1791,2054,2229,1828,2004,2228,2077,2285,2147,2176,2127,1622,1896,2546,2819,2684,2794,2929,3260,3170,3161,2668
연령,70세 이상,923,448,350,406,674,606,753,544,576,571,517,499,450,362,609,580,975,673,728,760,610,829,593,641,615,800,835,1004,1341,1179,1097,1008,1427,1320,1278,1191
